city	population	latitude	longitude
Hrob	1990	50.6590894	13.7255293
Hrochův_Týnec	2307	49.9594637	15.9105428
Hronov	6094	50.4799692	16.1820196
Hrotovice	1784	49.1076992	16.0606741
Hroznětín	2162	50.3093974	12.8718012
Hrušovany_nad_Jevišovkou	3377	48.8299011	16.4022403
Hrádek	2754	48.7731024	16.2717745
Hrádek_nad_Nisou	8001	50.8522229	14.8436667
Hulín	6414	49.3170041	17.4634978
Humpolec	11522	49.5418861	15.3586709
Husinec	1405	50.1737416	14.3750778
Hustopeče	6388	48.9399831	16.7369738
Ivanovice_na_Hané	2978	49.3054490	17.0936032
Ivančice	9898	49.1015881	16.3776051
Jablonec_nad_Jizerou	1609	50.7034400	15.4295952
Jablonec_nad_Nisou	46209	50.7240899	15.1710958
Jablonné_nad_Orlicí	3078	50.0296516	16.6001654
Jablonné_v_Podještědí	3704	50.7657554	14.7614324
Jablunkov	5257	49.5767408	18.7645761
Janov	256	50.2104016	13.6398017
Janovice_nad_Úhlavou	2464	49.3452626	13.2175818
Janské_Lázně	658	50.6305685	15.7806938
Jaroměř	12483	50.3555139	15.9189129
Jaroměřice_nad_Rokytnou	4087	49.0943503	15.8932579
Javorník	2574	49.6864955	15.0265313
Jemnice	3964	49.0192524	15.5698865
Jesenice_(Rakovník)	1632	50.0984577	13.4717743
Jeseník	10456	50.2296385	17.2046012
Jevišovice	1159	48.9874765	15.9896915
Jevíčko	2822	49.6324875	16.7118442
Jihlava	54624	49.3960640	15.5903065
Jilemnice	5377	50.6091761	15.5064747
Jindřichův_Hradec	20540	49.1443265	15.0033540
Jirkov	19240	50.5000597	13.4476266
Jistebnice	2132	49.4855868	14.5277008
Jičín	16101	50.4370452	15.3516528
Jiříkov	3507	50.9951393	14.5690963
Jáchymov	2304	50.3629787	12.9299257
Jílové	4932	50.7610971	14.1041986
Jílové_u_Prahy	5262	49.8952972	14.4933502
Kadaň	18090	50.3761991	13.2710364
Kamenice_nad_Lipou	3651	49.3031180	15.0754914
Kamenický_Šenov	3811	50.7735891	14.4728675
Kaplice	7531	48.7389045	14.4937180
Kardašova_Řečice	2221	49.1847779	14.8531546
Karlovy_Vary	49073	50.2306216	12.8701437
Karolinka	2373	49.3512769	18.2400622
Karviná	48937	49.8542719	18.5416556
Kasejovice	1441	49.4625179	13.7406640
Kaznějov	3085	49.8931303	13.3829479
Kašperské_Hory	1367	49.1434723	13.5560577
Kdyně	5153	49.3910021	13.0392655
Kelč	2673	49.4786945	17.8154631
Kladno	69664	50.1466053	14.1026398
Kladruby	1682	49.7231666	14.9500494
Klatovy	22763	49.3951183	13.2935954
Klecany	3938	50.1756713	14.4117052
Klimkovice	4454	49.7884424	18.1254099
Klobouky_u_Brna	2476	48.9951795	16.8597347
Klášterec_nad_Ohří	14068	50.3843054	13.1710191
Kojetín	5748	49.3523028	17.3026301
Kolín	33444	50.0288894	15.2011571
Konice	2664	49.5905186	16.8894268
Kopidlno	2157	50.3308510	15.2702931
Kopřivnice	21374	49.5989130	18.1452134
Koryčany	2732	49.1087288	17.1645488
Kosmonosy	5247	50.4389828	14.9305091
Kostelec_na_Hané	2832	49.5139792	17.0582398
Kostelec_nad_Labem	4462	50.2265320	14.5855201
Kostelec_nad_Orlicí	6252	50.1228126	16.2121972
Kostelec_nad_Černými_lesy	4156	49.9918984	14.8557555
Kouřim	1984	50.0034291	14.9769540
Košťany	3239	50.6550196	13.7546017
Kožlany	1511	49.9938908	13.5410653
Kralovice	3450	49.9821441	13.4867337
Kralupy_nad_Vltavou	19005	50.2415548	14.3106491
Kraslice	6432	50.3288071	12.5085759
Kravaře	6689	49.9321321	18.0044266
Krnov	22518	50.0898940	17.7040842
Kroměříž	27917	49.2984191	17.3929804
Krupka	12793	50.6847005	13.8577518
Kryry	2361	50.1743688	13.4265963
Králíky	4097	50.0843155	16.7603731
Králův_Dvůr	10598	49.9475208	14.0395357
Krásno	702	50.1091787	12.7863069
Krásná_Hora_nad_Vltavou	1143	49.6046057	14.2774188
Krásná_Lípa	3341	50.9145647	14.5062621
Krásné_Údolí	392	50.0724239	12.9210140
Kunovice	5570	49.0419231	17.4661940
Kunštát	2891	49.5072078	16.5184624
Kutná_Hora	21642	49.9486561	15.2681123
Kuřim	11860	49.2987857	16.5313960
Kyjov	10645	49.0104456	17.1224867
Kynšperk_nad_Ohří	4527	50.1182943	12.5311070
Lanškroun	9776	49.9124356	16.6118541
Lanžhot	3637	48.7245476	16.9667035
Ledeč_nad_Sázavou	4749	49.6950166	15.2777763
Ledvice	538	50.5850123	13.7720256
Letohrad	6407	50.0360932	16.4986002
Letovice	7124	49.5467115	16.5738843
Liberec	108090	50.7702648	15.0583947
Libochovice	3388	50.4060716	14.0422063
Libušín	3555	50.1681884	14.0545810
Libáň	1868	50.3750037	15.2162186
Libčice_nad_Vltavou	3604	50.1988879	14.3624086
Liběchov	1078	50.4078364	14.4467459
Lipnice_nad_Sázavou	650	49.6130233	15.4135596
Lipník_nad_Bečvou	7955	49.5273114	17.5861035
Litomyšl	10448	49.8725491	16.3101243
Litoměřice	22767	50.5340795	14.1317985
Litovel	9510	49.7013305	17.0758784
Litvínov	22387	50.6009532	13.6110485
Lišov	4679	49.0158765	14.6083357
Loket	3050	49.6554898	15.1168908
Lom	3762	49.4104450	13.9889872
Lomnice_nad_Lužnicí	1778	49.0815285	14.7181416
Lomnice_nad_Popelkou	5626	50.5310646	15.3728809
Louny	18068	50.3572914	13.7969195
Loučná_pod_Klínovcem	199	50.4188425	12.9814194
Lovosice	8727	50.5150033	14.0517563
Loštice	3052	49.7449432	16.9281353
Luby	2191	50.2524788	12.4059461
Luhačovice	5029	49.0997324	17.7577004
Lučany_nad_Nisou	1941	50.7413554	15.2204627
Luže	2604	49.8934114	16.0284252
Lysá_nad_Labem	10004	50.2016983	14.8327570
Lázně_Bohdaneč	3355	50.0764166	15.6798078
Lázně_Bělohrad	3674	50.4290274	15.5827632
Lázně_Kynžvart	1403	50.0091635	12.6256333
Manětín	1136	49.9917390	13.2322454
Mariánské_Lázně	14052	49.9739518	12.7033190
Mašťov	567	50.2622740	13.2804584
Meziboří	4597	50.6203084	13.6071384
Meziměstí	2324	50.6257349	16.2395252
Mikulov	7577	48.8068577	16.6383914
Mikulášovice	2092	50.9652558	14.3636833
Miletín	958	50.4040885	15.6822852
Milevsko	7950	49.4503023	14.3595152
Miličín	885	49.5706890	14.6614051
Milovice	14270	50.2259601	14.8886322
Mimoň	6387	50.6589287	14.7244345
Miroslav	3054	48.9473112	16.3134526
Mirotice	1232	49.4290263	14.0368614
Mirovice	1623	49.5158050	14.0365862
Mirošov	2248	49.4653220	16.1560924
Mladá_Boleslav	47346	50.4116187	14.9031301
Mladá_Vožice	2705	49.5332102	14.8088688
Mnichovice	4156	49.9360307	14.7096851
Mnichovo_Hradiště	9048	50.5229864	14.9741022
Mníšek_pod_Brdy	6432	49.8664138	14.2609488
Modřice	5755	49.1288791	16.6137074
Mohelnice	9782	49.7769472	16.9196183
Moravská_Třebová	9550	49.7581546	16.6641472
Moravské_Budějovice	7098	49.0525768	15.8092797
Moravský_Beroun	2804	49.7939027	17.4427357
Moravský_Krumlov	5667	49.0492698	16.3115273
Morkovice-Slížany	2975	49.2484586	17.2079269
Most	63474	50.5032737	13.6361120
Mýto	1602	49.7889973	13.7346533
Mělník	20278	50.3520785	14.4748281
Městec_Králové	2878	50.2071808	15.2975813
Město_Albrechtice	3375	50.1631183	17.5750385
Město_Touškov	2444	49.7758295	13.2508593
Měčín	1122	49.4795472	13.4049175
Mšeno	1415	50.4381922	14.6326066
Nalžovské_Hory	1152	49.3335778	13.5496097
Napajedla	7043	49.1715891	17.5113718
Nasavrky	1693	49.4519501	14.6405602
Nechanice	2508	50.2373686	15.6327598
Nejdek	7733	50.3247878	12.7332967
Nepomuk	3562	49.6427880	13.8372608
Neratovice	16360	50.2598479	14.5175086
Netolice	2467	49.0494308	14.1960193
Neveklov	2764	49.7535324	14.5334154
Nová_Bystřice	3199	49.0193392	15.1029382
Nová_Paka	8979	50.4947616	15.5149801
Nová_Role	4277	50.2709162	12.7842174
Nová_Včelnice	2176	49.2393496	15.0726025
Nové_Hrady	2469	48.7896693	14.7783906
Nové_Město_na_Moravě	9834	49.5616916	16.0744185
Nové_Město_nad_Metují	9181	50.3442064	16.1512997
Nové_Město_pod_Smrkem	3725	50.9254734	15.2299746
Nové_Sedlo	2527	50.3396380	13.4748279
Nové_Strašecí	5686	50.1532883	13.8998192
Nový_Bor	11318	50.7578780	14.5554953
Nový_Bydžov	7224	50.2417701	15.4907692
Nový_Jičín	23005	49.5948810	18.0102584
Nový_Knín	2154	49.7871435	14.2907781
Nymburk	15642	50.1852696	15.0414543
Náchod	19827	50.4167025	16.1622871
Náměšť_nad_Oslavou	4767	49.2073771	16.1577984
Nýrsko	5011	49.2936403	13.1434627
Nýřany	6991	49.7131491	13.2074889
Němčice_nad_Hanou	1918	49.3420839	17.2056673
Odolena_Voda	6547	50.2334117	14.4107808
Odry	7314	49.6622193	17.8303013
Olešnice	1620	49.5577012	16.4223306
Olomouc	103063	49.5940567	17.2511430
Oloví	1651	50.2513968	12.5586985
Opava	55109	49.9389004	17.9024174
Opočno	3148	50.2676907	16.1145157
Orlová	27540	49.8459427	18.4309274
Osek	4516	49.8196370	13.8585193
Osečná	1184	50.6945660	14.9210158
Oslavany	4873	49.1236142	16.3364832
Ostrava	283187	49.8349139	18.2820084
Ostrov	15681	49.6111687	14.0146436
Otrokovice	17401	49.2088284	17.5353865
Pacov	4743	49.4707194	15.0036121
Pardubice	92319	50.0385812	15.7791356
Paskov	3883	49.7317867	18.2903689
Pec_pod_Sněžkou	700	50.6935744	15.7335607
Pelhřimov	16206	49.4308737	15.2232341
Petřvald	7409	49.8310682	18.3898338
Pečky	4874	50.0898509	15.0291945
Pilníkov	1218	50.5328029	15.8199431
Planá	5493	48.9435942	14.4527645
Planá_nad_Lužnicí	4614	49.3510522	14.7047195
Plasy	2924	49.9341107	13.3889549
Plesná	1886	50.2208012	12.3466609
Plumlov	2254	49.4661434	17.0148581
Plzeň	187928	49.7477415	13.3775249
Plánice	1629	49.3899269	13.4710601
Poběžovice	1551	49.5106977	12.8028363
Podbořany	6253	50.2292216	13.4113590
Podivín	2938	48.8282341	16.8501418
Poděbrady	15232	50.1430072	15.1191453
Pohořelice	6126	48.9816868	16.5242181
Police_nad_Metují	4131	50.5368703	16.2335044
Polička	9051	49.7149137	16.2653869
Polná	5277	49.4873383	15.7188513
Postoloprty	4673	50.3600554	13.7028467
Potštát	1237	49.6371952	17.6516964
Počátky	2502	49.2602542	15.2404051
Prachatice	11119	49.0129091	13.9977720
Praha	1397880	NA	NA
Proseč	2124	49.6007022	15.3290819
Prostějov	43408	49.4721467	17.1117979
Protivín	4764	49.2000186	14.2159645
Pyšely	2301	49.8767807	14.6770252
Písek	31121	49.3089887	14.1477690
Přebuz	70	50.3657774	12.6200389
Přelouč	10203	50.0394360	15.5606989
Přerov	40906	49.4553775	17.4508621
Přeštice	6792	49.5726096	13.3295697
Přibyslav	4076	49.5768385	15.7385463
Přimda	1621	49.6745658	12.6763239
Příbor	8298	49.6401091	18.1438062
Příbram	32773	49.6901444	14.0103663
Rabí	496	49.2809304	13.6188949
Radnice	1847	49.8571241	13.6062750
Rajhrad	4136	49.0890629	16.6030548
Rakovník	15682	50.1041136	13.7310462
Ralsko	2220	50.5857728	14.8040625
Raspenava	2833	50.9041544	15.1146468
Rejštejn	240	49.1405310	13.5151685
Rokycany	14381	49.7428813	13.5947780
Rokytnice_nad_Jizerou	2478	50.7272292	15.4638743
Rokytnice_v_Orlických_horách	2125	50.1647335	16.4656749
Ronov_nad_Doubravou	1668	49.8881855	15.5315320
Rosice	6784	49.1825874	16.3878251
Rotava	2778	50.3058704	12.5610769
Roudnice_nad_Labem	12668	50.4244462	14.2603824
Rousínov	5962	49.2015498	16.8821032
Rovensko_pod_Troskami	1371	50.5351143	15.2598248
Roztoky	9088	50.1608299	14.3824148
Rožmberk_nad_Vltavou	375	48.6547364	14.3666491
Rožmitál_pod_Třemšínem	4244	49.6021760	13.8639580
Rožnov_pod_Radhoštěm	16063	49.4587958	18.1429843
Rožďalovice	1703	50.3034933	15.1699546
Rtyně_v_Podkrkonoší	2858	50.5055320	16.0711662
Rudná	5502	50.0337771	14.2312404
Rudolfov	2587	48.9936055	14.5411628
Rumburk	10815	50.9517739	14.5569317
Rychnov_nad_Kněžnou	11420	50.1632537	16.2748393
Rychnov_u_Jablonce_nad_Nisou	2854	50.6837901	15.1497890
Rychvald	7787	49.8663296	18.3763920
Rájec-Jestřebí	3736	49.4091450	16.6270226
Rýmařov	7763	49.9320352	17.2714574
Sadská	3301	50.1361194	14.9859741
Sedlec-Prčice	2979	49.5726082	14.5326911
Sedlice	1276	49.6216028	13.8807821
Sedlčany	6767	49.6582258	14.4254935
Semily	8022	50.6022490	15.3352600
Sezemice	4451	50.5855488	15.0050906
Sezimovo_Ústí	7097	49.3854272	14.6843674
Seč	1848	49.8473534	15.6571108
Skalná	1892	50.1702336	12.3610476
Skuteč	5020	49.8434267	15.9961932
Slaný	16937	50.2306933	14.0868501
Slatiňany	4163	49.9212452	15.8132542
Slavičín	6184	49.0889594	17.8748080
Slavkov_u_Brna	7258	49.1535759	16.8763606
Slavonice	2229	48.9975333	15.3515379
Slušovice	2945	49.2479338	17.8012424
Smečno	1980	50.1884375	14.0403651
Smiřice	3138	50.2995707	15.8645911
Smržovka	3915	50.7384678	15.2463402
Sobotka	2400	50.4676307	15.1765887
Soběslav	7070	49.2594070	14.7193304
Sokolov	22007	50.1809097	12.6394986
Solnice	2376	50.2030082	16.2383273
Spálené_Poříčí	3008	49.6144658	13.6043136
Staré_Město_(Šumperk)	1678	50.0842845	14.4178391
Starý_Plzenec	5403	49.6978507	13.4735561
Staňkov	3401	48.9795234	14.9526982
Stochov	5349	50.1481264	13.9629115
Stod	3646	49.6390886	13.1647362
Strakonice	22355	49.2612770	13.9025043
Strmilov	1403	49.1591510	15.2014514
Stráž_nad_Nežárkou	879	49.0697105	14.9055137
Stráž_pod_Ralskem	3839	50.7029923	14.8009646
Strážnice	5311	48.9018932	17.3144340
Strážov	1362	49.3034789	13.2483379
Studénka	9302	49.7137494	18.0610845
Stárkov	633	50.5339240	16.1581733
Stříbro	8060	49.7530168	13.0049136
Suchdol_nad_Lužnicí	3597	48.8880893	14.8746872
Sušice	10740	49.2313907	13.5204076
Svitavy	16073	49.7562053	16.4688995
Svoboda_nad_Úpou	1951	50.6262304	15.8164318
Svratka	1367	49.7111798	16.0315815
Světlá_nad_Sázavou	6394	49.6680082	15.4039340
Sázava	3867	49.8717573	14.8967120
Tachov	14097	49.7955449	12.6329861
Tanvald	5970	50.7379882	15.3038421
Telč	5134	49.1847652	15.4524773
Teplice	50912	50.6406644	13.8244461
Teplice_nad_Metují	1614	50.5939134	16.1707745
Teplá	2903	49.9820739	12.8632960
Terezín	2850	50.5107160	14.1497170
Tišnov	9225	49.3488380	16.4244906
Toužim	3465	50.0607602	12.9849922
Tovačov	2467	49.4305415	17.2880579
Trhové_Sviny	5262	48.8425812	14.6391858
Trhový_Štěpánov	1506	49.7116864	15.0135299
Trmice	3381	50.6428488	13.9942622
Trutnov	29607	50.5608165	15.9128970
Turnov	14577	50.5874068	15.1574182
Tábor	34356	49.4141533	14.6587234
Týn_nad_Vltavou	7774	49.2234214	14.4211240
Týnec_nad_Labem	2211	50.0418987	15.3580835
Týnec_nad_Sázavou	5752	49.8334756	14.5899539
Týniště_nad_Orlicí	6148	50.1513634	16.0776973
Třebechovice_pod_Orebem	5869	50.2007842	15.9930870
Třebenice	1889	49.1629373	16.0161696
Třeboň	8270	49.0040317	14.7714476
Třebíč	34530	49.2151907	15.8816091
Třemošnice	3314	49.8693093	15.5803962
Třemošná	5052	49.8167442	13.3951971
Třešť	5790	49.2911919	15.4830063
Třinec	33852	49.6779212	18.6711993
Uherské_Hradiště	24887	49.0681018	17.4663899
Uherský_Brod	16367	49.0253139	17.6464437
Uherský_Ostroh	4209	48.9855580	17.3898443
Uhlířské_Janovice	3131	49.8807582	15.0644920
Unhošť	5292	50.0849900	14.1318613
Uničov	11237	49.7711837	17.1213944
Valašské_Klobouky	4864	49.1409048	18.0075634
Valašské_Meziříčí	22580	49.4716056	17.9715930
Valtice	3580	48.7412949	16.7557580
Vamberk	4568	50.1179339	16.2903737
Varnsdorf	14704	50.9124244	14.6194058
Vejprty	2766	50.4923155	13.0321201
Velešín	3861	48.8292557	14.4635063
Velká_Bystřice	3779	49.5947568	17.3654414
Velká_Bíteš	5482	49.2883646	16.2271255
Velké_Bílovice	3854	48.8493878	16.8920520
Velké_Hamry	2717	50.7143764	15.3150838
Velké_Meziříčí	11608	49.3554996	16.0121507
Velké_Opatovice	3457	49.6126397	16.6794242
Velké_Pavlovice	3100	48.9044074	16.8164581
Velký_Šenov	2013	50.9907708	14.3780786
Veltrusy	2311	50.2710734	14.3277379
Velvary	3080	50.2819312	14.2361619
Verneřice	1171	50.6611409	14.3011435
Veselí_nad_Lužnicí	6515	49.1866657	14.6989455
Veselí_nad_Moravou	10623	48.9540796	17.3790340
Veverská_Bítýška	3512	49.2700225	16.4283061
Vidnava	1190	50.3724340	17.1861229
Vimperk	7289	49.0526997	13.7741980
Vizovice	4845	49.2231391	17.8545076
Vlachovo_Březí	1750	49.0817729	13.9588404
Vlašim	11434	49.7065924	14.8987513
Vodňany	7383	49.1478708	14.1754647
Volary	3692	48.9095977	13.8883971
Volyně	3036	49.1664511	13.8867227
Votice	4760	49.6403939	14.6380296
Vracov	4496	48.9738808	17.2120968
Vratimov	7434	49.7697532	18.3102044
Vrbno_pod_Pradědem	4714	50.1209513	17.3831569
Vrchlabí	12102	50.6271452	15.6095779
Vroutek	1854	50.1806231	13.3804345
Vsetín	25185	49.3389775	17.9961534
Vysoké_Mýto	12560	49.9534727	16.1616455
Vysoké_Veselí	883	50.3306772	15.4356592
Vysoké_nad_Jizerou	1278	50.6857713	15.4014639
Vyškov	20645	49.2778194	16.9994446
Vyšší_Brod	2597	48.6154234	14.3120378
Vítkov	5508	49.7758144	17.7517864
Výsluní	295	50.4664819	13.2373954
Větřní	3761	48.7742466	14.2861607
Všeruby	1716	49.8417849	13.2291760
Zbiroh	2541	49.8592406	13.7711465
Zbýšov	3671	49.1552431	16.3495114
Zdice	4124	49.9119542	13.9779864
Zlaté_Hory	3701	50.2637622	17.3953643
Zliv	3453	49.0663495	14.3660772
Zlín	74684	49.2267660	17.6667415
Znojmo	34172	48.8554341	16.0489457
Zruč_nad_Sázavou	4755	49.7402960	15.1060740
Zubří	5561	49.5711085	16.1236867
Zábřeh	13320	49.8829089	16.8725044
Zákupy	2954	50.6844952	14.6454503
Zásmuky	2156	49.9544644	15.0302421
Újezd_u_Brna	3375	49.1043477	16.7573682
Úpice	5448	50.5125314	16.0154279
Úsov	1164	49.7983079	17.0105488
Ústí_nad_Labem	90866	50.6603327	14.0381357
Ústí_nad_Orlicí	14011	49.9737603	16.3941695
Úterý	438	49.9399942	13.0038338
Úvaly	7515	50.0740135	14.7305192
Úštěk	2844	50.5847441	14.3433242
Čelákovice	12474	50.1607829	14.7500022
Černovice	1769	49.3725903	14.9599829
Černošice	7712	49.9569988	14.3193081
Černošín	1196	49.8162537	12.8838251
Červená_Řečice	1024	49.5116159	15.1792161
Červený_Kostelec	8262	50.4765050	16.0926214
Česká_Kamenice	5037	50.7994117	14.4165592
Česká_Lípa	36815	50.6865452	14.5372974
Česká_Skalice	5020	50.3945544	16.0436385
Česká_Třebová	15010	49.9021593	16.4472039
České_Budějovice	97231	48.9747357	14.4742850
České_Velenice	3607	48.7685057	14.9636772
Český_Brod	7487	50.0740536	14.8606115
Český_Dub	2882	50.6607076	14.9957954
Český_Krumlov	12797	48.8106526	14.3150586
Český_Těšín	23075	49.7464018	18.6260976
Čáslav	10399	49.9109171	15.3913205
Řevnice	3777	49.9143330	14.2361169
Říčany	17143	49.9919444	14.6542365
Šenov	6639	49.7931698	18.3756285
Šlapanice	7915	49.1688974	16.7272687
Šluknov	5629	51.0032170	14.4530321
